1024,715
0,745,324
1,725,324
2,720,351
3,727,370
4,745,428
5,760,430
6,769,450
7,791,467
8,814,450
9,842,463
10,839,499
11,811,495
12,859,519
13,877,524
14,898,525
15,962,498
16,979,493
17,982,470
18,973,435
19,962,452
20,947,527
21,995,608
22,1017,600
23,1011,652
24,1000,671
25,976,675
26,952,678
27,942,656
28,934,630
29,897,635
30,861,615
31,843,617
32,843,636
33,836,572
34,819,595
35,806,573
36,784,590
37,777,610
38,741,607
39,729,598
40,726,613
41,691,601
42,683,615
43,658,623
44,637,617
45,614,602
46,588,592
47,569,588
48,548,571
49,516,556
50,502,522
51,644,481
52,651,498
53,676,506
54,658,535
55,662,569
56,695,561
57,691,543
58,730,551
59,725,533
60,759,529
61,767,513
62,785,542
63,897,389
64,917,400
65,928,409
66,952,414
67,937,370
68,947,386
69,970,391
70,904,347
71,920,361
72,885,362
73,880,329
74,875,342
75,859,342
76,842,337
77,844,325
78,830,327
79,831,344
80,817,346
81,812,358
82,791,362
83,793,342
84,806,313
85,789,308
86,736,281
87,693,278
88,698,255
89,700,312
90,700,360
91,685,347
92,659,348
93,650,379
94,648,397
95,611,410
96,589,404
97,565,404
98,533,394
99,512,365
100,517,318
101,522,275
102,566,297
103,554,283
104,587,265
105,613,241
106,631,277
107,662,285
108,681,243
109,658,212
110,657,255
111,638,263
112,611,281
113,541,304
114,529,337
115,703,389
116,669,425
117,648,419
118,652,448
119,625,452
120,622,467
121,596,463
122,582,460
123,544,467
124,398,495
125,406,526
126,386,516
127,380,543
128,348,541
129,326,532
130,305,505
131,326,498
132,356,485
133,383,473
134,396,456
135,379,432
136,372,426
137,344,409
138,318,431
139,313,452
140,336,460
141,356,455
142,311,471
143,304,482
144,299,469
145,275,453
146,252,452
147,245,470
148,257,485
149,278,501
150,228,476
151,238,488
152,208,466
153,201,449
154,227,449
155,242,430
156,259,431
157,246,404
158,226,398
159,195,383
160,171,384
161,148,387
162,180,411
163,179,426
164,128,460
165,121,496
166,152,486
167,137,526
168,102,530
169,127,552
170,85,549
171,73,554
172,42,558
173,12,561
174,187,659
175,170,671
176,153,667
177,148,688
178,133,706
179,108,698
180,106,706
181,191,690
182,299,646
183,289,652
184,287,684
185,315,678
186,319,695
187,347,697
188,376,704
189,388,692
190,381,663
191,359,645
192,327,624
193,371,624
194,403,648
195,420,659
196,435,666
197,450,688
198,407,700
199,421,694
200,804,547
201,800,557
202,760,586
203,748,573
204,728,492
205,697,482
206,680,475
207,701,513
208,641,519
209,617,574
210,844,259
211,858,250
212,861,264
213,886,268
214,887,291
215,938,311
216,958,298
217,985,304
218,997,308
219,1012,253
220,979,255
221,954,237
222,995,229
223,974,217
224,949,181
225,934,191
226,952,198
227,924,173
228,894,182
229,873,228
230,865,223
231,842,223
232,836,200
233,860,202
234,854,184
235,854,184
236,851,156
237,878,160
238,896,133
239,917,131
240,965,146
241,989,168
242,989,190
243,1017,191
244,992,60
245,966,55
246,860,55
247,822,52
248,752,91
249,715,121
250,631,135
251,594,142
252,562,157
253,552,191
254,577,219
255,702,196
256,681,196
257,721,151
258,705,164
259,748,143
260,758,156
261,792,166
262,802,174
263,788,205
264,765,213
265,770,257
266,803,259
267,814,266
268,387,179
269,362,156
270,340,177
271,328,156
272,328,142
273,336,202
274,364,216
275,358,240
276,337,233
277,383,229
278,406,250
279,437,280
280,465,301
281,457,280
282,651,157
283,673,73
284,665,82
285,639,87
286,620,78
287,607,90
288,583,74
289,573,99
290,557,88
291,550,69
292,538,55
293,529,28
294,537,16
295,487,25
296,442,24
297,464,54
298,438,50
299,437,66
300,430,82
301,389,56
302,387,67
303,387,81
304,327,60
305,284,62
306,265,51
307,230,27
308,195,15
309,161,4
310,138,8
311,117,3
312,91,3
313,71,2
314,40,25
315,22,26
316,8,18
317,66,59
318,90,64
319,102,66
320,109,99
321,72,83
322,84,99
323,73,128
324,71,141
325,65,158
326,42,138
327,37,127
328,17,105
329,8,91
330,34,71
331,34,71
332,145,97
333,113,129
334,26,178
335,9,193
336,32,223
337,41,231
338,51,248
339,62,271
340,81,307
341,70,314
342,53,368
343,50,349
344,26,346
345,34,380
346,10,379
347,3,353
348,74,398
349,81,426
350,96,402
351,118,433
352,283,292
353,275,324
354,260,314
355,249,293
356,216,306
357,223,333
358,194,335
359,195,301
360,180,315
361,167,319
362,148,321
363,133,335
364,134,311
365,114,297
366,141,277
367,123,258
368,108,270
369,122,226
370,100,222
371,215,180
372,243,175
373,265,207
374,265,230
375,244,244
376,266,269
377,287,231
378,262,181
379,254,143
380,246,120
381,232,97
382,197,91
383,190,115
384,486,92
385,485,120
386,460,111
387,501,123
388,526,116
389,540,124
390,512,159
391,510,142
392,489,148
393,700,54
394,718,56
395,717,31
396,716,9
397,781,32
398,954,34
399,981,31
400,862,28
401,855,92
402,839,101
403,862,117
404,843,135
405,831,144
406,800,127
407,466,365
408,494,379
409,512,413
410,467,409
411,457,423
412,436,378
413,446,425
414,471,485
415,482,486
416,536,637
417,522,639
418,506,665
419,516,689
420,542,694
421,552,702
422,574,692
423,609,682
424,630,690
425,704,644
426,699,665
427,698,687
428,799,669
429,927,689
430,896,691
431,596,485
432,439,612
433,473,632
434,485,628
435,315,590
436,287,591
437,280,607
438,234,643
439,213,615
440,190,598
441,156,615
442,157,631
443,190,552
444,190,552
445,189,520
446,104,662
447,46,641
448,9,637
449,101,585
450,48,580
451,388,320
452,394,295
453,433,326
454,384,343
455,732,227
456,433,10
457,336,12
458,345,28
459,314,35
460,280,25
461,282,1
462,360,39
463,170,90
464,418,173
465,410,193
466,452,243
467,906,301
468,995,361
469,1012,376
470,1008,81
471,998,99
472,1016,486
473,1006,500
474,1017,514
475,996,539
476,939,596
477,905,609
478,384,300
479,749,640
480,772,632
481,764,705
482,742,702
483,918,659
484,237,212
485,215,219
486,197,201
487,226,195
488,4,149
489,7,167
490,936,148
