1024,848
0,556,458
1,549,401
2,540,407
3,605,367
4,609,357
5,550,252
6,545,234
7,543,219
8,549,202
9,488,112
10,461,83
11,493,48
12,519,38
13,518,18
14,502,7
15,475,5
16,466,7
17,467,17
18,466,25
19,563,62
20,582,30
21,604,44
22,687,113
23,703,113
24,693,99
25,698,84
26,684,84
27,728,68
28,742,57
29,837,133
30,826,124
31,820,97
32,824,78
33,810,63
34,784,48
35,760,42
36,809,39
37,904,42
38,921,25
39,941,23
40,965,35
41,982,35
42,987,52
43,997,71
44,982,76
45,966,80
46,950,108
47,940,120
48,948,138
49,986,156
50,985,143
51,984,120
52,987,99
53,1010,97
54,1013,109
55,1009,245
56,1000,266
57,965,217
58,972,235
59,987,226
60,994,214
61,926,180
62,902,185
63,890,200
64,882,185
65,865,195
66,841,216
67,817,219
68,785,197
69,796,165
70,784,146
71,758,135
72,735,135
73,692,211
74,682,225
75,656,206
76,637,194
77,622,205
78,611,220
79,612,242
80,600,252
81,630,274
82,645,287
83,661,289
84,685,276
85,704,264
86,711,252
87,706,232
88,750,284
89,735,283
90,723,295
91,723,317
92,753,321
93,748,348
94,775,353
95,789,356
96,805,341
97,812,313
98,805,319
99,806,298
100,799,275
101,789,281
102,774,289
103,794,264
104,778,272
105,775,251
106,773,263
107,753,260
108,683,540
109,695,516
110,706,537
111,712,509
112,732,512
113,745,513
114,760,498
115,774,492
116,774,462
117,765,470
118,762,448
119,746,439
120,730,436
121,730,429
122,719,431
123,699,440
124,693,431
125,680,450
126,675,468
127,674,486
128,684,502
129,695,494
130,874,468
131,886,481
132,899,485
133,885,491
134,894,504
135,908,501
136,914,512
137,914,499
138,926,514
139,931,499
140,949,512
141,972,509
142,984,501
143,989,486
144,976,485
145,957,475
146,952,471
147,934,462
148,924,454
149,914,450
150,901,448
151,887,448
152,885,423
153,874,413
154,863,396
155,885,382
156,894,367
157,884,353
158,893,329
159,906,325
160,924,321
161,937,312
162,947,318
163,962,359
164,932,350
165,945,339
166,948,424
167,955,411
168,924,398
169,939,378
170,903,393
171,989,390
172,1008,364
173,984,348
174,977,338
175,992,333
176,1004,329
177,1001,313
178,982,315
179,966,663
180,981,655
181,980,632
182,980,614
183,992,609
184,995,588
185,910,609
186,906,599
187,900,586
188,887,604
189,882,584
190,871,572
191,862,549
192,830,530
193,802,526
194,759,560
195,746,553
196,734,586
197,781,665
198,817,721
199,840,710
200,861,711
201,890,689
202,919,703
203,934,702
204,919,680
205,930,654
206,917,663
207,930,638
208,950,625
209,974,710
210,968,699
211,984,699
212,1004,688
213,995,682
214,820,592
215,817,679
216,814,661
217,815,630
218,882,656
219,894,646
220,948,758
221,933,749
222,913,749
223,908,731
224,929,730
225,737,650
226,719,652
227,687,643
228,675,621
229,676,608
230,664,606
231,676,588
232,690,578
233,627,543
234,625,604
235,622,591
236,645,585
237,645,569
238,644,513
239,634,417
240,627,408
241,657,404
242,668,376
243,657,368
244,645,367
245,653,358
246,621,335
247,501,462
248,513,434
249,461,426
250,448,407
251,463,400
252,478,411
253,535,362
254,539,345
255,527,333
256,454,288
257,434,291
258,425,270
259,413,278
260,385,274
261,379,286
262,346,266
263,363,256
264,380,248
265,364,243
266,399,218
267,403,208
268,404,193
269,455,164
270,472,166
271,555,516
272,582,518
273,594,492
274,584,489
275,599,474
276,598,412
277,443,469
278,439,450
279,411,494
280,393,465
281,411,437
282,401,436
283,389,383
284,379,352
285,364,353
286,318,276
287,310,237
288,316,222
289,333,208
290,327,73
291,324,93
292,287,103
293,301,91
294,287,65
295,300,49
296,309,57
297,316,29
298,280,30
299,269,14
300,223,31
301,248,17
302,208,17
303,166,26
304,170,80
305,208,122
306,260,150
307,251,116
308,217,226
309,206,219
310,199,234
311,186,247
312,137,264
313,128,241
314,105,257
315,87,240
316,65,258
317,89,349
318,104,372
319,99,392
320,70,401
321,45,400
322,29,389
323,21,365
324,31,344
325,41,336
326,57,344
327,58,330
328,44,117
329,238,307
330,253,326
331,252,345
332,237,365
333,245,385
334,224,380
335,199,343
336,177,319
337,168,326
338,165,345
339,165,358
340,272,467
341,301,445
342,283,482
343,278,516
344,261,514
345,279,546
346,269,551
347,263,544
348,240,560
349,239,577
350,236,600
351,210,595
352,201,578
353,214,567
354,206,551
355,229,541
356,194,536
357,189,525
358,183,532
359,169,533
360,169,523
361,160,532
362,151,521
363,140,526
364,127,539
365,119,554
366,111,567
367,106,583
368,111,596
369,136,617
370,146,618
371,154,624
372,165,625
373,176,621
374,187,617
375,196,610
376,204,606
377,278,623
378,309,598
379,321,561
380,334,560
381,310,529
382,322,531
383,327,524
384,334,515
385,341,502
386,317,479
387,309,490
388,482,584
389,486,557
390,498,556
391,521,552
392,500,532
393,522,525
394,506,647
395,533,634
396,533,621
397,553,615
398,512,588
399,481,613
400,466,622
401,454,626
402,452,618
403,465,611
404,423,621
405,423,635
406,436,618
407,430,551
408,409,561
409,396,567
410,308,637
411,308,623
412,244,685
413,182,691
414,168,699
415,151,719
416,131,708
417,115,752
418,116,728
419,87,793
420,76,785
421,61,793
422,36,797
423,40,782
424,22,775
425,22,764
426,20,750
427,7,736
428,9,726
429,20,715
430,27,709
431,38,699
432,57,682
433,36,678
434,54,664
435,70,662
436,83,662
437,98,643
438,90,633
439,99,625
440,91,619
441,88,596
442,89,568
443,83,571
444,69,565
445,50,561
446,23,559
447,11,563
448,23,540
449,19,515
450,20,496
451,11,470
452,36,461
453,43,444
454,82,444
455,97,446
456,93,462
457,93,482
458,90,494
459,81,505
460,62,512
461,52,500
462,45,489
463,167,445
464,167,434
465,163,400
466,186,388
467,197,453
468,272,401
469,283,382
470,284,372
471,314,373
472,292,359
473,295,344
474,290,327
475,283,310
476,410,781
477,402,803
478,509,800
479,517,783
480,529,794
481,543,804
482,561,812
483,575,820
484,576,832
485,604,797
486,596,794
487,599,772
488,580,773
489,598,755
490,563,761
491,572,751
492,539,739
493,636,728
494,662,723
495,677,726
496,700,736
497,682,750
498,678,797
499,713,782
500,744,756
501,775,739
502,760,735
503,770,713
504,740,711
505,758,702
506,736,699
507,697,693
508,646,670
509,620,680
510,596,687
511,581,687
512,558,677
513,547,663
514,597,637
515,575,619
516,604,622
517,622,622
518,631,634
519,666,641
520,650,638
521,645,627
522,739,614
523,781,587
524,785,575
525,799,570
526,790,552
527,784,560
528,886,786
529,900,787
530,911,785
531,853,743
532,846,757
533,845,761
534,838,785
535,854,805
536,860,821
537,836,813
538,818,822
539,814,809
540,797,797
541,793,777
542,805,767
543,814,747
544,791,824
545,753,822
546,739,820
547,740,803
548,714,825
549,714,837
550,730,840
551,901,832
552,894,818
553,887,835
554,943,800
555,945,793
556,966,817
557,988,813
558,980,804
559,999,795
560,991,778
561,1003,764
562,995,751
563,987,738
564,982,726
565,970,743
566,823,448
567,809,444
568,794,442
569,784,426
570,762,411
571,763,397
572,818,415
573,815,385
574,818,397
575,885,278
576,879,252
577,882,243
578,890,239
579,901,240
580,898,231
581,775,212
582,747,190
583,768,180
584,736,169
585,665,158
586,665,146
587,652,135
588,669,131
589,657,125
590,643,122
591,629,126
592,598,136
593,586,149
594,574,139
595,541,154
596,525,157
597,525,189
598,510,182
599,500,177
600,494,147
601,465,821
602,456,804
603,439,806
604,447,787
605,339,788
606,330,781
607,339,755
608,331,740
609,325,756
610,308,759
611,285,758
612,278,752
613,272,728
614,269,717
615,269,705
616,316,813
617,298,817
618,288,803
619,278,808
620,263,809
621,251,801
622,235,787
623,217,781
624,204,789
625,209,802
626,220,806
627,220,820
628,228,827
629,226,837
630,48,827
631,28,839
632,12,839
633,399,717
634,371,719
635,391,702
636,433,721
637,461,762
638,448,755
639,401,757
640,263,261
641,244,255
642,251,231
643,100,93
644,92,77
645,130,88
646,134,69
647,170,202
648,162,188
649,189,178
650,376,64
651,366,79
652,356,97
653,368,32
654,370,6
655,426,63
656,418,47
657,404,26
658,400,13
659,623,80
660,615,80
661,643,70
662,664,66
663,657,53
664,646,45
665,882,157
666,906,132
667,907,110
668,916,99
669,838,15
670,797,8
671,763,16
672,732,7
673,701,21
674,664,25
675,646,21
676,648,8
677,666,8
678,365,532
679,370,512
680,393,546
681,417,538
682,412,518
683,386,493
684,370,479
685,471,467
686,489,512
687,487,491
688,473,504
689,521,485
690,517,468
691,536,465
692,531,445
693,127,183
694,129,203
695,124,164
696,99,178
697,104,158
698,59,180
699,50,151
700,59,54
701,56,62
702,48,74
703,40,84
704,27,96
705,13,95
706,5,54
707,5,45
708,12,15
709,22,19
710,28,7
711,41,17
712,74,758
713,79,738
714,45,604
715,40,632
716,845,260
